,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
447,ubo50,45,7,"[0, 2, 3, 10, 6, 5, 3, 1, 1, 5, 10, 1, 5, 6, 3, 3, 3, 1, 8, 1, 7, 5, 10, 10, 1, 3, 9, 2, 8, 10, 5, 7, 1, 2, 6, 3, 7, 8, 1, 4, 1, 2, 4, 6, 6, 2, 5, 1, 1, 6, 3, 0]",10,0.31,Optimal,0.0,177.0
448,ubo50,45,8,"[0, 1, 4, 6, 5, 9, 6, 1, 1, 9, 9, 1, 4, 6, 4, 3, 2, 1, 7, 1, 5, 3, 7, 7, 1, 2, 9, 1, 7, 8, 6, 5, 1, 1, 4, 4, 7, 8, 1, 8, 1, 2, 6, 3, 6, 3, 7, 1, 1, 11, 3, 0]",10,0.32,Optimal,0.0,175.0
449,ubo50,45,9,"[0, 1, 5, 6, 7, 7, 6, 1, 1, 6, 7, 1, 8, 6, 2, 3, 3, 1, 9, 1, 3, 3, 6, 11, 3, 3, 9, 1, 8, 8, 5, 6, 1, 2, 6, 5, 4, 10, 1, 5, 1, 2, 3, 4, 8, 3, 3, 1, 1, 10, 1, 0]",10,0.26,Optimal,0.0,179.0
450,ubo50,46,0,"[0, 8, 1, 6, 2, 1, 8, 2, 6, 2, 6, 10, 8, 12, 7, 4, 1, 1, 3, 11, 1, 1, 9, 2, 8, 10, 1, 1, 2, 8, 7, 7, 2, 2, 1, 2, 4, 6, 1, 6, 1, 4, 1, 1, 3, 6, 2, 8, 7, 3, 2, 0]",10,0.3,Optimal,0.0,214.0
451,ubo50,46,1,"[0, 8, 3, 11, 2, 1, 6, 1, 6, 3, 8, 10, 6, 10, 6, 3, 1, 2, 3, 6, 1, 2, 8, 5, 8, 7, 1, 1, 1, 7, 6, 12, 2, 1, 1, 5, 4, 8, 1, 5, 1, 3, 3, 3, 5, 7, 5, 8, 9, 4, 2, 0]",10,0.23,Optimal,0.0,215.0
452,ubo50,46,2,"[0, 5, 2, 7, 2, 1, 8, 1, 6, 3, 9, 11, 6, 10, 9, 3, 1, 2, 1, 9, 1, 2, 10, 4, 10, 11, 1, 1, 1, 7, 3, 10, 3, 1, 1, 4, 7, 6, 1, 6, 1, 3, 3, 1, 2, 6, 2, 6, 9, 3, 2, 0]",10,0.00999999,Infeasible,,
453,ubo50,46,3,"[0, 7, 2, 8, 1, 1, 9, 3, 8, 4, 5, 7, 6, 12, 12, 4, 1, 1, 3, 11, 2, 1, 10, 4, 6, 12, 1, 1, 2, 11, 4, 8, 2, 2, 1, 6, 5, 5, 1, 5, 1, 4, 2, 1, 3, 9, 3, 6, 9, 6, 5, 0]",10,0.23,Optimal,0.0,213.0
454,ubo50,46,4,"[0, 5, 1, 9, 2, 1, 7, 2, 11, 2, 5, 11, 4, 11, 9, 3, 1, 2, 2, 6, 1, 2, 6, 2, 8, 11, 1, 1, 1, 8, 3, 11, 2, 2, 1, 3, 5, 9, 1, 8, 1, 3, 3, 1, 3, 10, 5, 7, 9, 4, 2, 0]",10,0.22,Optimal,0.0,210.0
455,ubo50,46,5,"[0, 8, 1, 6, 1, 1, 7, 2, 6, 2, 8, 6, 5, 8, 10, 2, 1, 3, 3, 9, 2, 2, 8, 5, 9, 11, 1, 1, 3, 10, 6, 8, 1, 1, 1, 2, 6, 8, 1, 5, 1, 6, 2, 3, 4, 11, 5, 6, 5, 4, 4, 0]",10,0.17,Optimal,0.0,220.0
456,ubo50,46,6,"[0, 7, 1, 8, 3, 1, 6, 1, 6, 2, 9, 12, 5, 9, 7, 2, 1, 3, 3, 7, 1, 2, 7, 4, 6, 6, 1, 1, 3, 10, 4, 12, 1, 1, 1, 2, 6, 6, 1, 5, 1, 7, 3, 1, 5, 12, 5, 9, 8, 2, 2, 0]",10,0.0,Infeasible,,
457,ubo50,46,7,"[0, 5, 3, 12, 1, 1, 6, 2, 10, 3, 7, 11, 6, 12, 11, 2, 1, 2, 3, 9, 1, 1, 10, 2, 9, 8, 1, 1, 1, 11, 6, 10, 3, 1, 1, 5, 3, 7, 1, 6, 1, 6, 3, 1, 3, 7, 2, 6, 8, 5, 3, 0]",10,0.2,Optimal,0.0,215.0
458,ubo50,46,8,"[0, 7, 3, 6, 3, 1, 9, 3, 6, 4, 7, 10, 7, 12, 10, 5, 1, 3, 1, 11, 1, 2, 10, 5, 8, 8, 1, 1, 1, 7, 5, 11, 2, 2, 1, 3, 3, 9, 1, 9, 1, 5, 3, 2, 2, 6, 2, 8, 7, 6, 3, 0]",10,0.56,Optimal,0.0,239.0
459,ubo50,46,9,"[0, 8, 2, 7, 3, 1, 9, 2, 6, 5, 5, 10, 6, 9, 11, 3, 1, 2, 1, 10, 1, 1, 7, 4, 9, 12, 1, 1, 1, 7, 3, 11, 3, 1, 1, 6, 6, 7, 1, 7, 1, 5, 1, 2, 4, 6, 2, 6, 5, 4, 5, 0]",10,0.48,Optimal,0.0,215.0
460,ubo50,47,0,"[0, 6, 2, 2, 6, 1, 9, 1, 2, 1, 4, 7, 6, 7, 6, 8, 10, 5, 2, 9, 9, 4, 7, 11, 8, 10, 2, 3, 2, 3, 1, 5, 3, 4, 2, 1, 6, 7, 1, 5, 11, 6, 1, 4, 7, 1, 6, 4, 2, 5, 1, 0]",10,0.33,Optimal,0.0,196.0
461,ubo50,47,1,"[0, 3, 3, 5, 9, 1, 8, 1, 6, 1, 4, 11, 5, 4, 7, 6, 10, 4, 5, 8, 7, 3, 3, 7, 9, 12, 2, 6, 2, 2, 2, 4, 2, 5, 1, 2, 5, 10, 1, 5, 6, 4, 1, 3, 11, 1, 3, 7, 2, 4, 1, 0]",10,0.17,Optimal,0.0,190.0
462,ubo50,47,2,"[0, 7, 5, 3, 8, 1, 11, 1, 2, 1, 7, 10, 5, 7, 9, 11, 10, 4, 2, 10, 7, 2, 5, 10, 7, 7, 1, 4, 1, 1, 1, 8, 3, 7, 2, 1, 4, 9, 2, 7, 10, 7, 1, 4, 8, 3, 3, 4, 1, 4, 1, 0]",10,0.27,Optimal,0.0,193.0
463,ubo50,47,3,"[0, 5, 5, 5, 5, 1, 12, 1, 3, 1, 6, 10, 2, 4, 7, 7, 11, 7, 4, 6, 5, 3, 3, 7, 9, 7, 2, 6, 1, 3, 2, 4, 5, 3, 2, 2, 4, 11, 2, 9, 11, 3, 1, 2, 11, 2, 4, 3, 1, 3, 2, 0]",10,0.32,Optimal,0.0,197.0
464,ubo50,47,4,"[0, 3, 2, 4, 8, 1, 10, 1, 4, 1, 4, 11, 5, 6, 6, 8, 10, 6, 2, 6, 9, 5, 5, 10, 8, 6, 2, 5, 1, 1, 1, 6, 3, 3, 1, 1, 3, 8, 1, 9, 9, 6, 1, 5, 9, 3, 6, 6, 2, 5, 1, 0]",10,0.3,Optimal,0.0,192.0
465,ubo50,47,5,"[0, 7, 5, 4, 9, 1, 10, 1, 2, 1, 7, 9, 2, 6, 6, 6, 8, 5, 4, 6, 7, 4, 4, 10, 6, 10, 1, 3, 2, 1, 1, 5, 4, 4, 1, 1, 2, 8, 1, 9, 7, 3, 1, 2, 9, 2, 3, 7, 2, 5, 1, 0]",10,0.02,Optimal,0.0,188.0
466,ubo50,47,6,"[0, 6, 2, 5, 9, 1, 9, 1, 2, 1, 4, 6, 6, 4, 9, 7, 8, 5, 4, 11, 9, 3, 6, 10, 10, 6, 2, 4, 1, 2, 2, 8, 4, 6, 1, 2, 4, 7, 2, 7, 6, 4, 1, 6, 7, 2, 5, 3, 1, 2, 1, 0]",10,0.18,Optimal,0.0,191.0
467,ubo50,47,7,"[0, 3, 4, 4, 9, 1, 9, 1, 6, 1, 7, 6, 6, 5, 7, 10, 7, 5, 5, 11, 6, 3, 4, 6, 11, 12, 2, 6, 1, 3, 1, 7, 3, 7, 1, 1, 5, 8, 1, 6, 9, 4, 1, 3, 8, 2, 7, 3, 2, 2, 1, 0]",10,0.23,Optimal,0.0,195.0
468,ubo50,47,8,"[0, 5, 5, 3, 6, 1, 7, 1, 6, 1, 8, 6, 4, 4, 8, 12, 6, 4, 5, 6, 7, 4, 7, 9, 8, 8, 1, 2, 2, 3, 2, 4, 6, 4, 2, 1, 4, 9, 1, 5, 10, 6, 1, 5, 9, 1, 6, 4, 1, 4, 1, 0]",10,0.16,Optimal,0.0,199.0
469,ubo50,47,9,"[0, 4, 4, 2, 7, 1, 9, 1, 6, 1, 8, 8, 3, 5, 5, 11, 9, 6, 4, 6, 5, 2, 3, 8, 10, 6, 2, 6, 2, 3, 2, 6, 6, 4, 2, 2, 3, 11, 2, 7, 10, 4, 1, 2, 8, 2, 4, 5, 1, 2, 2, 0]",10,0.18,Optimal,0.0,193.0
470,ubo50,48,0,"[0, 11, 9, 9, 6, 2, 7, 2, 2, 6, 1, 6, 7, 9, 1, 5, 1, 9, 12, 4, 1, 1, 7, 8, 2, 1, 7, 10, 7, 7, 5, 11, 5, 6, 5, 2, 4, 3, 2, 1, 1, 2, 6, 5, 2, 1, 3, 2, 1, 8, 1, 0]",10,0.2,Optimal,0.0,150.0
471,ubo50,48,1,"[0, 11, 7, 6, 9, 1, 6, 2, 1, 8, 1, 5, 6, 6, 1, 4, 1, 6, 8, 4, 2, 1, 6, 7, 3, 2, 9, 9, 11, 7, 8, 6, 4, 7, 4, 2, 6, 6, 4, 1, 3, 1, 6, 5, 2, 1, 2, 2, 2, 5, 1, 0]",10,0.23,Optimal,0.0,137.0
472,ubo50,48,2,"[0, 11, 11, 9, 11, 1, 8, 1, 2, 9, 2, 5, 6, 9, 2, 8, 1, 9, 11, 6, 2, 1, 9, 6, 1, 2, 7, 10, 7, 7, 5, 8, 8, 9, 2, 1, 4, 6, 3, 1, 1, 1, 9, 6, 3, 1, 1, 1, 2, 7, 1, 0]",10,0.31,Optimal,0.0,152.0
473,ubo50,48,3,"[0, 12, 6, 6, 8, 1, 8, 2, 1, 12, 2, 6, 5, 9, 1, 4, 1, 6, 8, 3, 2, 1, 7, 4, 2, 1, 6, 11, 6, 7, 8, 7, 5, 9, 2, 3, 3, 5, 5, 1, 1, 2, 7, 7, 2, 1, 2, 1, 2, 5, 2, 0]",10,0.26,Optimal,0.0,152.0
474,ubo50,48,4,"[0, 6, 11, 8, 7, 2, 11, 1, 3, 11, 2, 5, 7, 7, 2, 7, 1, 7, 12, 2, 2, 2, 6, 6, 1, 2, 5, 6, 11, 10, 7, 10, 6, 5, 3, 1, 3, 6, 3, 1, 3, 2, 7, 5, 1, 1, 1, 2, 1, 9, 1, 0]",10,0.22,Optimal,0.0,145.0
475,ubo50,48,5,"[0, 12, 9, 8, 9, 2, 8, 2, 3, 9, 2, 9, 6, 7, 1, 8, 1, 8, 9, 2, 2, 2, 6, 4, 3, 1, 7, 6, 8, 12, 6, 10, 4, 9, 2, 3, 4, 5, 3, 1, 1, 1, 12, 6, 3, 1, 2, 1, 2, 5, 1, 0]",10,0.00999999,Infeasible,,
476,ubo50,48,6,"[0, 8, 12, 9, 7, 1, 6, 1, 1, 9, 2, 5, 7, 8, 2, 6, 2, 9, 12, 6, 2, 1, 5, 4, 3, 1, 9, 11, 7, 11, 9, 7, 6, 7, 4, 2, 7, 5, 4, 1, 1, 1, 6, 8, 3, 1, 1, 2, 2, 8, 1, 0]",10,0.28,Optimal,0.0,152.0
477,ubo50,48,7,"[0, 8, 12, 8, 6, 2, 11, 1, 2, 9, 1, 5, 4, 9, 2, 7, 2, 6, 8, 2, 1, 1, 5, 6, 1, 2, 9, 9, 6, 11, 9, 8, 6, 9, 3, 3, 4, 3, 3, 1, 1, 2, 12, 9, 1, 1, 3, 1, 2, 6, 1, 0]",10,0.33,Optimal,0.0,156.0
478,ubo50,48,8,"[0, 6, 6, 8, 8, 1, 7, 2, 2, 7, 1, 9, 3, 8, 1, 8, 1, 8, 11, 3, 2, 1, 9, 4, 3, 2, 8, 6, 7, 6, 7, 8, 8, 8, 4, 3, 5, 2, 3, 1, 3, 2, 6, 9, 2, 1, 2, 2, 1, 7, 2, 0]",10,0.0,Infeasible,,
479,ubo50,48,9,"[0, 12, 12, 5, 10, 2, 9, 2, 1, 12, 2, 6, 5, 5, 1, 5, 1, 9, 8, 5, 1, 2, 9, 6, 3, 2, 7, 11, 6, 11, 8, 11, 7, 7, 4, 1, 3, 2, 2, 1, 3, 2, 8, 9, 1, 1, 1, 2, 1, 6, 1, 0]",10,0.16,Optimal,0.0,156.0
480,ubo50,49,0,"[0, 11, 9, 9, 5, 4, 8, 11, 2, 1, 2, 1, 3, 1, 2, 9, 6, 7, 8, 12, 1, 11, 8, 7, 6, 10, 8, 1, 9, 3, 4, 7, 2, 2, 1, 3, 3, 4, 1, 4, 6, 5, 5, 2, 7, 3, 5, 2, 6, 8, 3, 0]",10,0.02,Optimal,0.0,142.0
481,ubo50,49,1,"[0, 6, 12, 8, 6, 4, 8, 10, 1, 1, 3, 1, 4, 1, 1, 8, 6, 7, 4, 10, 1, 7, 8, 5, 4, 6, 7, 1, 8, 5, 4, 9, 5, 2, 1, 3, 5, 4, 1, 3, 7, 6, 5, 5, 7, 4, 5, 2, 4, 7, 3, 0]",10,0.02,Optimal,0.0,139.0
482,ubo50,49,2,"[0, 9, 6, 5, 9, 5, 9, 9, 2, 1, 5, 2, 2, 1, 1, 9, 9, 6, 4, 10, 1, 8, 6, 5, 7, 7, 7, 1, 5, 4, 2, 9, 2, 1, 1, 3, 4, 8, 1, 4, 5, 6, 7, 3, 5, 2, 9, 5, 5, 8, 4, 0]",10,0.02,Optimal,0.0,139.0
483,ubo50,49,3,"[0, 6, 7, 7, 7, 3, 6, 8, 1, 1, 4, 1, 3, 3, 2, 9, 7, 5, 4, 7, 1, 11, 6, 4, 6, 7, 7, 1, 9, 2, 5, 5, 5, 2, 1, 2, 5, 5, 1, 5, 9, 4, 4, 5, 4, 3, 5, 4, 3, 10, 4, 0]",10,0.02,Optimal,0.0,137.0
484,ubo50,49,4,"[0, 11, 9, 9, 7, 3, 8, 9, 2, 1, 3, 2, 4, 1, 1, 5, 9, 7, 8, 12, 1, 8, 6, 6, 3, 6, 10, 1, 7, 5, 3, 5, 2, 2, 1, 2, 3, 6, 1, 7, 9, 7, 7, 5, 6, 4, 8, 4, 6, 11, 5, 0]",10,0.11,Optimal,0.0,143.0
485,ubo50,49,5,"[0, 10, 9, 7, 9, 7, 5, 9, 2, 1, 2, 2, 3, 1, 3, 7, 7, 5, 6, 12, 1, 7, 10, 3, 7, 10, 7, 1, 8, 3, 2, 6, 4, 2, 1, 3, 4, 4, 1, 3, 7, 8, 5, 2, 3, 5, 6, 2, 7, 9, 5, 0]",10,0.03,Optimal,0.0,140.0
486,ubo50,49,6,"[0, 8, 9, 9, 9, 6, 5, 6, 1, 1, 4, 3, 6, 3, 2, 6, 9, 6, 6, 11, 1, 8, 12, 7, 6, 10, 10, 1, 5, 5, 4, 9, 5, 2, 1, 5, 2, 6, 1, 6, 5, 6, 5, 5, 5, 2, 6, 2, 4, 9, 5, 0]",10,0.25,Optimal,0.0,144.0
487,ubo50,49,7,"[0, 7, 8, 5, 7, 7, 5, 8, 1, 1, 5, 3, 6, 3, 1, 9, 7, 7, 8, 7, 1, 8, 11, 4, 4, 7, 6, 1, 9, 2, 4, 7, 5, 2, 1, 6, 2, 4, 1, 6, 7, 8, 5, 5, 4, 3, 7, 3, 7, 11, 4, 0]",10,0.02,Optimal,0.0,138.0
488,ubo50,49,8,"[0, 6, 9, 5, 9, 5, 8, 11, 2, 1, 3, 1, 6, 1, 3, 6, 8, 5, 5, 6, 1, 11, 8, 5, 7, 9, 8, 1, 7, 4, 2, 7, 5, 1, 1, 6, 3, 5, 1, 3, 7, 7, 4, 6, 6, 5, 8, 2, 6, 7, 4, 0]",10,0.14,Optimal,0.0,145.0
489,ubo50,49,9,"[0, 8, 6, 6, 9, 5, 8, 10, 2, 1, 2, 3, 4, 3, 2, 7, 5, 8, 7, 8, 1, 12, 6, 3, 3, 6, 8, 1, 9, 2, 5, 9, 3, 1, 1, 3, 4, 8, 1, 4, 8, 5, 5, 4, 7, 3, 5, 4, 5, 11, 3, 0]",10,0.13,Optimal,0.0,143.0
490,ubo50,50,0,"[0, 3, 1, 7, 10, 5, 7, 2, 3, 1, 6, 2, 7, 1, 2, 1, 6, 3, 3, 5, 1, 10, 6, 1, 1, 10, 7, 9, 4, 1, 7, 1, 3, 7, 2, 4, 7, 5, 11, 3, 7, 1, 6, 2, 6, 5, 5, 2, 8, 6, 4, 0]",10,0.02,Optimal,0.0,208.0
491,ubo50,50,1,"[0, 4, 1, 7, 12, 6, 7, 2, 2, 1, 6, 3, 9, 1, 1, 1, 6, 1, 5, 4, 1, 8, 4, 1, 1, 10, 5, 7, 5, 3, 6, 1, 3, 9, 6, 6, 11, 3, 9, 2, 6, 3, 4, 2, 9, 9, 4, 1, 12, 5, 4, 0]",10,0.00999999,Optimal,0.0,211.0
492,ubo50,50,2,"[0, 5, 1, 5, 7, 8, 6, 1, 3, 1, 11, 4, 10, 2, 1, 1, 4, 1, 5, 6, 1, 11, 4, 1, 1, 9, 8, 8, 2, 3, 9, 2, 6, 7, 2, 7, 8, 2, 11, 4, 10, 2, 3, 1, 8, 9, 6, 1, 10, 6, 8, 0]",10,0.00999999,Optimal,0.0,210.0
493,ubo50,50,3,"[0, 3, 1, 4, 8, 8, 7, 1, 2, 1, 10, 5, 8, 3, 1, 1, 2, 2, 4, 5, 1, 6, 5, 1, 1, 8, 8, 5, 4, 2, 6, 1, 3, 11, 6, 5, 6, 5, 11, 2, 7, 2, 2, 2, 9, 6, 3, 1, 11, 9, 8, 0]",10,0.02,Optimal,0.0,209.0
494,ubo50,50,4,"[0, 5, 1, 4, 9, 5, 9, 2, 4, 1, 11, 3, 10, 2, 1, 1, 2, 2, 5, 4, 1, 7, 4, 1, 1, 11, 4, 9, 4, 2, 8, 1, 4, 6, 5, 6, 11, 3, 7, 4, 10, 1, 2, 2, 10, 7, 6, 1, 8, 5, 7, 0]",10,0.00999999,Optimal,0.0,214.0
495,ubo50,50,5,"[0, 2, 1, 4, 10, 7, 7, 1, 2, 1, 9, 2, 7, 3, 1, 1, 6, 3, 5, 6, 1, 9, 7, 1, 1, 8, 7, 8, 3, 3, 9, 2, 4, 10, 6, 3, 9, 5, 6, 5, 11, 3, 3, 1, 8, 7, 4, 1, 8, 6, 8, 0]",10,0.0100002,Optimal,0.0,208.0
496,ubo50,50,6,"[0, 2, 1, 8, 10, 6, 9, 2, 2, 1, 7, 4, 11, 3, 2, 1, 2, 1, 4, 7, 1, 7, 4, 1, 1, 6, 7, 6, 2, 1, 8, 2, 4, 9, 6, 7, 9, 2, 6, 2, 10, 3, 3, 2, 10, 6, 4, 2, 8, 9, 7, 0]",10,0.00999999,Optimal,0.0,208.0
497,ubo50,50,7,"[0, 4, 1, 8, 10, 5, 9, 1, 2, 1, 11, 5, 10, 3, 1, 1, 5, 1, 4, 4, 1, 9, 6, 1, 1, 6, 5, 9, 3, 2, 7, 2, 2, 8, 6, 3, 8, 2, 9, 6, 9, 1, 6, 3, 8, 7, 6, 2, 8, 6, 5, 0]",10,0.00999999,Optimal,0.0,207.0
498,ubo50,50,8,"[0, 3, 1, 4, 11, 9, 10, 1, 4, 1, 9, 3, 10, 1, 1, 1, 5, 3, 6, 4, 1, 9, 5, 1, 1, 7, 6, 9, 3, 3, 5, 2, 2, 10, 4, 6, 11, 3, 7, 6, 10, 1, 4, 2, 9, 5, 3, 2, 6, 7, 6, 0]",10,0.00999999,Optimal,0.0,208.0
499,ubo50,50,9,"[0, 2, 1, 7, 8, 7, 8, 1, 3, 1, 8, 5, 6, 1, 2, 1, 3, 2, 2, 5, 1, 9, 4, 1, 1, 10, 7, 8, 5, 1, 8, 2, 4, 6, 3, 7, 8, 5, 10, 6, 8, 3, 3, 3, 11, 5, 5, 2, 9, 7, 4, 0]",10,0.00999999,Optimal,0.0,213.0
500,ubo50,51,0,"[0, 8, 1, 3, 7, 8, 4, 2, 3, 10, 5, 7, 5, 4, 1, 2, 3, 2, 4, 10, 1, 1, 7, 8, 4, 10, 2, 5, 2, 5, 2, 1, 4, 1, 3, 2, 11, 3, 3, 1, 1, 2, 1, 9, 3, 5, 1, 3, 2, 8, 2, 0]",10,0.02,Optimal,0.0,124.0
501,ubo50,51,1,"[0, 5, 3, 6, 11, 6, 5, 5, 6, 6, 3, 6, 8, 4, 1, 2, 1, 2, 5, 7, 1, 3, 5, 8, 3, 8, 2, 5, 1, 5, 2, 1, 4, 1, 3, 3, 11, 1, 5, 1, 1, 2, 2, 8, 2, 5, 1, 4, 2, 7, 2, 0]",10,0.1,Optimal,0.0,127.0
502,ubo50,51,2,"[0, 8, 1, 5, 6, 5, 5, 3, 5, 6, 2, 7, 6, 2, 1, 5, 2, 2, 2, 9, 1, 1, 8, 8, 6, 11, 1, 3, 1, 8, 4, 1, 2, 1, 4, 1, 7, 2, 2, 1, 1, 1, 1, 9, 2, 9, 2, 4, 1, 7, 1, 0]",10,0.00999999,Optimal,0.0,124.0
503,ubo50,51,3,"[0, 7, 2, 5, 10, 9, 6, 4, 2, 7, 4, 5, 4, 4, 1, 5, 2, 2, 4, 10, 1, 3, 5, 5, 4, 7, 2, 2, 1, 4, 2, 1, 3, 1, 2, 2, 9, 2, 3, 1, 1, 1, 2, 9, 6, 8, 1, 3, 1, 9, 2, 0]",10,0.00999999,Optimal,0.0,124.0
504,ubo50,51,4,"[0, 5, 2, 5, 11, 9, 4, 2, 5, 7, 3, 3, 4, 2, 1, 4, 2, 1, 4, 6, 1, 2, 8, 7, 3, 8, 1, 5, 1, 4, 6, 1, 5, 1, 4, 1, 8, 1, 5, 1, 1, 1, 1, 9, 4, 6, 1, 2, 2, 6, 2, 0]",10,0.00999999,Optimal,0.0,124.0
505,ubo50,51,5,"[0, 7, 1, 7, 9, 8, 7, 5, 4, 9, 4, 6, 8, 5, 1, 4, 1, 1, 2, 9, 1, 1, 8, 5, 2, 8, 1, 4, 1, 6, 3, 1, 2, 1, 2, 1, 10, 3, 3, 1, 1, 2, 2, 9, 3, 7, 2, 4, 2, 12, 1, 0]",10,0.00999999,Optimal,0.0,124.0
506,ubo50,51,6,"[0, 5, 3, 7, 7, 5, 4, 5, 3, 6, 2, 6, 6, 5, 1, 2, 3, 2, 4, 10, 1, 1, 5, 4, 6, 12, 2, 5, 2, 8, 3, 1, 4, 1, 4, 3, 11, 1, 5, 1, 1, 1, 1, 9, 2, 8, 1, 2, 2, 11, 2, 0]",10,0.00999999,Optimal,0.0,124.0
507,ubo50,51,7,"[0, 9, 3, 6, 6, 7, 5, 5, 4, 6, 3, 4, 8, 3, 1, 5, 2, 3, 5, 6, 1, 3, 9, 4, 4, 10, 2, 4, 1, 7, 2, 1, 3, 1, 6, 3, 8, 3, 6, 1, 1, 2, 3, 6, 3, 6, 1, 3, 1, 11, 1, 0]",10,0.02,Optimal,0.0,124.0
508,ubo50,51,8,"[0, 9, 3, 5, 9, 6, 8, 2, 2, 12, 5, 5, 8, 3, 1, 5, 2, 2, 4, 11, 1, 2, 9, 4, 5, 6, 1, 4, 2, 5, 3, 1, 2, 1, 6, 1, 8, 2, 5, 1, 1, 1, 1, 6, 2, 7, 1, 2, 1, 9, 1, 0]",10,0.00999999,Optimal,0.0,123.0
509,ubo50,51,9,"[0, 7, 3, 3, 11, 7, 4, 6, 3, 11, 2, 5, 7, 4, 1, 4, 1, 3, 2, 9, 1, 1, 8, 5, 4, 6, 1, 3, 1, 8, 4, 1, 5, 1, 6, 2, 10, 3, 4, 1, 1, 1, 2, 7, 2, 8, 2, 5, 1, 12, 1, 0]",10,0.00999999,Optimal,0.0,124.0
510,ubo50,52,0,"[0, 7, 1, 1, 6, 1, 9, 11, 6, 3, 6, 10, 11, 1, 1, 1, 7, 5, 1, 9, 5, 10, 5, 1, 1, 7, 6, 1, 5, 6, 5, 3, 3, 5, 2, 3, 4, 2, 4, 3, 2, 10, 2, 6, 4, 6, 5, 6, 6, 1, 6, 0]",10,0.00999999,Optimal,0.0,133.0
511,ubo50,52,1,"[0, 5, 2, 1, 5, 1, 7, 9, 10, 5, 9, 6, 11, 2, 1, 2, 8, 3, 1, 9, 4, 8, 4, 2, 1, 5, 3, 1, 6, 6, 5, 3, 5, 4, 2, 2, 5, 1, 4, 5, 5, 10, 3, 6, 4, 4, 4, 8, 6, 1, 3, 0]",10,0.02,Optimal,0.0,132.0
512,ubo50,52,2,"[0, 8, 2, 3, 7, 1, 10, 9, 11, 6, 5, 9, 10, 2, 1, 1, 12, 7, 1, 9, 4, 6, 6, 1, 1, 5, 4, 1, 7, 3, 5, 3, 2, 4, 6, 6, 3, 1, 4, 4, 2, 7, 1, 8, 7, 4, 5, 9, 10, 1, 5, 0]",10,0.02,Optimal,0.0,134.0
513,ubo50,52,3,"[0, 6, 3, 1, 6, 1, 8, 8, 6, 4, 7, 10, 6, 1, 1, 2, 11, 4, 1, 7, 4, 11, 6, 1, 1, 5, 2, 1, 4, 2, 3, 5, 3, 3, 6, 6, 6, 1, 3, 5, 5, 6, 2, 8, 8, 3, 3, 8, 7, 1, 4, 0]",10,0.02,Optimal,0.0,133.0
514,ubo50,52,4,"[0, 4, 3, 2, 5, 1, 10, 8, 11, 6, 9, 8, 6, 2, 1, 2, 9, 6, 1, 6, 5, 10, 5, 1, 1, 5, 6, 1, 5, 6, 4, 4, 2, 3, 5, 2, 3, 1, 5, 5, 3, 6, 1, 9, 4, 4, 5, 9, 10, 1, 6, 0]",10,0.02,Optimal,0.0,134.0
515,ubo50,52,5,"[0, 7, 3, 3, 8, 1, 11, 10, 9, 5, 9, 10, 6, 2, 1, 2, 6, 6, 1, 6, 3, 8, 4, 1, 1, 5, 4, 1, 4, 6, 2, 6, 6, 4, 3, 5, 4, 1, 4, 4, 3, 12, 2, 6, 4, 5, 7, 6, 6, 1, 3, 0]",10,0.02,Optimal,0.0,132.0
516,ubo50,52,6,"[0, 7, 2, 1, 9, 1, 9, 8, 9, 7, 9, 9, 6, 1, 1, 1, 12, 7, 1, 6, 7, 7, 4, 2, 1, 7, 6, 1, 6, 6, 2, 2, 5, 4, 6, 5, 7, 1, 6, 2, 3, 11, 3, 7, 7, 5, 3, 6, 10, 1, 4, 0]",10,0.00999999,Optimal,0.0,133.0
517,ubo50,52,7,"[0, 7, 2, 3, 5, 1, 8, 10, 6, 5, 9, 9, 10, 2, 1, 1, 9, 3, 1, 9, 5, 8, 6, 2, 1, 7, 3, 1, 4, 3, 2, 6, 6, 4, 4, 5, 4, 1, 3, 2, 4, 9, 3, 10, 5, 6, 4, 6, 8, 1, 7, 0]",10,0.00999999,Optimal,0.0,135.0
518,ubo50,52,8,"[0, 4, 1, 1, 7, 1, 9, 11, 7, 4, 9, 10, 6, 1, 1, 2, 12, 6, 1, 5, 4, 6, 4, 1, 1, 9, 5, 1, 5, 4, 4, 2, 4, 5, 2, 6, 4, 2, 3, 4, 5, 12, 3, 6, 8, 6, 6, 8, 6, 1, 6, 0]",10,0.02,Optimal,0.0,132.0
519,ubo50,52,9,"[0, 5, 3, 3, 5, 1, 7, 10, 8, 6, 9, 11, 10, 1, 1, 1, 12, 4, 1, 7, 3, 11, 5, 2, 1, 8, 4, 1, 3, 2, 2, 2, 4, 2, 2, 6, 4, 1, 4, 4, 2, 7, 2, 7, 5, 5, 7, 6, 6, 1, 5, 0]",10,0.02,Optimal,0.0,132.0
520,ubo50,53,0,"[0, 5, 7, 6, 4, 9, 4, 6, 2, 10, 2, 7, 4, 1, 1, 8, 7, 9, 9, 7, 7, 7, 5, 1, 2, 3, 3, 2, 12, 1, 1, 6, 5, 2, 11, 1, 12, 1, 4, 1, 7, 1, 8, 3, 1, 2, 1, 1, 5, 8, 7, 0]",10,0.02,Optimal,0.0,112.0
